项目,数值,单位,备注
城墙总周长,25700,米,约合汉代65里
东城墙,6000,米,基本呈直线
南城墙,7600,米,有多个折角
西城墙,4900,米,受潏水河道影响
北城墙,7200,米,有多个折角
城区总面积,36,平方公里,城墙范围内面积
