宫殿名称,位置,东西长度_米,南北宽度_米,周长_米,面积_平方公里,主要功能,建造时期
未央宫,城内西南角,2300.0,2000.0,8800.0,5.0,皇帝理政,高祖时期
长乐宫,城内东南角,2900.0,2400.0,10600.0,6.0,太后居所,秦兴乐宫改建
桂宫,未央宫北,880.0,1800.0,5360.0,1.6,后妃居所,武帝时期
北宫,未央宫北,,,,0.5,初期后宫后为祠庙,高祖时期
建章宫,城西上林苑,,,,规模宏大,武帝修建的离宫,武帝时期
